"ALU_NOVAMATRICULA" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"237" "6ffb7b43315b088ebb282941208a78ec" 8.2 9.3 7.3 9.5 9.5 8.2 7.5 6.5 8.5 9.6 8.8 7.1 7.4 9.5 8.3 9.3 9.2 7.6 9.2 8.8 7.6 8.6 8.3 8.6 9.4 9.4 8.4 8.4 7.7 8 10 9.2 6.2 7.2 8.1 9.1 10 10 8.8 9.8 8.3 7.4 8.4 7.9 8.53058823529412
"243" "7320d8872f0d3daa05f36e0c3c53832a" 8.1 7.1 7.7 9.7 7 5.9 5.3 5 7.3 8.8 8.9 5.2 7 7.5 8.7 9 7.5 7 8 9.1 7 9.8 8 7.8 9.2 9.5 7 6.5 7 8.5 6.2 9.3 6.5 5 9.1 8.1 8.5 8.5 7.3 8.4 6 7.6 5.1 8.2 7.43483146067416
"248" "7523e3de68765e17ad7ac0901c7f7674" 7 7.4 5 7 6.1 5.2 7.2 5.2 6.2 8.3 6.1 5.5 6.8 7.9 7.8 8.5 8.7 7.1 7 7 7.1 7.2 7.5 6 9.4 7.75 6.7 5.8 9.4 6.5 7.4 5.5 5.9 5 5.7 7.9 7.8 7.5 6.4 9.4 6.1 7.6 5.6 7 6.81034482758621
"254" "7979cfa5c2470bbe746d71b38b2d4f13" 8 8.8 7.2 8.5 6.4 6.7 7.3 5.7 7.4 7 8.8 7.1 7 9.2 7.9 9.4 8.2 7.5 9 5.5 7.5 8.3 8.7 7 9.2 9.6 8.2 5.4 8.5 7.8 8.1 8 5 6.3 7.7 7.4 8.5 8.4 6.9 8.1 7.1 6.3 7.2 7 7.59294117647059
"255" "79e460c3dd1dbece149b77b92854c4f1" 7.7 8.4 5.4 7 5.1 5.2 5.1 5.6 6.2 8.3 6 6.1 7 5 8.4 8.3 7.2 7.1 8.4 8 7.1 9 7.5 8.2 9.1 9.6 7.2 7 7 6.6 8.7 7 6.2 5.9 7.8 7.3 8.5 8.5 5.8 7.6 5.6 7 6.3 8 6.84395604395604
"257" "7b0d1989c7f51c42fd9373fcde214de9" 6.2 5.6 8.1 8.7 9 7.2 7 5 7.2 9.8 8.3 6.9 7 7.8 7.8 9.4 8.5 8.6 8.8 9.2 8.6 7.1 8.7 9.1 9.5 9.1 9.7 7.3 7.5 7.8 7.3 9.3 6.2 5.8 8.5 8.4 8.9 8.3 8.3 7.9 6.9 8 7 9.3 7.92352941176471
"263" "7e8e16898c52d9a6541eeb435892ff14" 5.8 5.5 7.9 9.4 8.2 7.1 5.4 5.9 7.3 8 9 7 7.2 8.5 8.3 9.3 8.3 7.6 9.3 7.3 7.6 9.9 9.5 8.6 9.5 9 6.4 5.2 8.8 7.4 5.2 8.4 6.7 5 8.5 8.2 9.3 7.8 8.2 8.6 5.5 7.2 5.6 6.3 7.44022988505747
"271" "82b80ba1611c0f8f9de04144d3da52cf" 7.8 7.7 8.6 9.3 8.6 8.5 7.5 8 7.3 9.8 7.3 7.5 7 8.1 8 9.3 8 7 8.5 9.1 7 9.7 8.3 7.8 9.3 9.5 9 8.1 7 7.1 9.3 8.9 7.8 7 8.6 9.3 9 8.7 8.2 9.8 7 7.9 8.4 7.7 8.27058823529412
"276" "85974cb8795c635a3f2ded1660219726" 6.1 5.7 5 5.2 5.4 5.2 8.8 5.1 5.3 8 5 5.7 7 7.6 7.4 8.5 7 7 7 7.8 7 7 8.4 7 8.5 8.3 5.6 5.5 8.8 5.4 6.6 5 5.1 5.7 6.6 6 8 8.6 7 8.7 5.5 5.7 5 5 4.87446808510638
"289" "8c7eb58dd1d3cd685465f84ac09a29c7" 5 6.4 7.1 7.3 6.8 7.3 7.2 5.2 7 9.8 8.4 5.3 7 8.1 8.7 9 8.8 7 8.9 8.5 7 8.1 9.4 8 9.1 9.1 5.6 7 8.7 8.8 6.8 6.5 9.4 8.2 8.2 8.6 8.7 8.2 7.2 8.5 7 6.1 5 8.6 7.2258064516129
"303" "947e6db7a0e7f3786a3e3aefcdfbe0e4" 7 8 8.9 7.6 9 7.6 7.8 6.3 7.2 9.8 8.6 7.2 8.6 8.1 8.4 8.5 9 8.2 9.8 9.1 8.2 9.9 9 9.1 9.2 9.2 9.2 8.1 8 8 8.2 7.9 9.5 6 7.6 8.1 8.2 8.9 8.5 9.2 7.3 8.3 7.1 8.3 8.30941176470588
"317" "9d559e62d9a1a8fa9d614cd3c7d716cb" 8.2 8.5 8.1 8.4 9 7.8 8.2 7 7.3 8 9.3 7.2 8.4 9.4 8.4 8.4 7.5 7.2 8.4 9.3 7.2 9.6 8.7 8.5 9.3 9.6 8.7 9.3 8.7 8.8 7 7.4 6.1 7 8.8 8.9 9 8.7 7.2 9.1 7 7.1 7.8 9.6 8.24705882352941
"322" "a00489d15900fab201c3a7a48d64feaa" 5 7 7.9 7.4 8.9 7.9 8.7 7.5 6.9 10 7 7.4 7 7.3 7.6 7 7.7 5.8 8.2 8.9 5.8 7 8.1 8.9 9 8 7.8 7.7 7.6 5.5 8.2 8 5.9 7.6 8.3 9.3 8.5 8.2 6.2 7.1 6.3 7.7 7.4 8.1 7.3685393258427
"336" "a7a5550ae50a880e490df32eafcc9a5f" 7.6 7.8 7.8 7.6 7 8.2 7.2 5.7 7 9.8 7.6 7 7 8.5 7 8.8 8.7 5.7 8.8 8.3 5.7 7.4 8.6 9.3 8.8 9.2 7 6.1 7 7.1 7.4 7 5 5.4 7 8.1 8.2 8.5 8.4 8.2 7.5 7 5.7 6.8 7.50117647058824
