"ALU_NOVAMATRICULA" "Álgebra.Linear.I" "Álgebra.Vetorial.e.Geometria.Analítica" "Análise.e.Técnica.de.Algoritmos" "Aval..de.Desempenho.de.Sistemas.Discretos" "Banco.de.Dados.I" "Banco.de.Dados.II" "Cálculo.Diferencial.e.Integral.I" "Cálculo.Diferencial.e.Integral.II" "Compiladores" "Direito.e.Cidadania" "Engenharia.de.Software.I" "Estrutura.de.Dados.e.Algoritmos" "Fundamentos.de.Física.Clássica" "Fundamentos.de.Física.Moderna" "Gerência.da.Informação" "Informática.e.Sociedade" "Inteligência.Artificial.I" "Interconexão.de.Redes.de.Computadores" "Introdução.à.Computação" "Lab..de.Estrutura.de.Dados.e.Algoritmos" "Lab..de.Intercon..de.Redes.de.Computadores" "Lab..de.Org..e.Arquitetura.de.Computadores" "Laboratório.de.Engenharia.de.Software" "Laboratório.de.Programação.I" "Laboratório.de.Programação.II" "Leitura.e.Produção.de.Textos" "Lógica.Matemática" "Matemática.Discreta" "Métodologia.Científica" "Métodos.e.Software.Numéricos" "Métodos.Estatisticos" "Org..e.Arquitetura.de.Computadores.I" "Paradigmas.de.Ling..de.Programação" "Probabilidade.e.Estatistica" "Programação.I" "Programação.II" "Projeto.em.Computação.I" "Projeto.em.Computação.II" "Redes.de.Computadores" "Sistemas.de.Informação.I" "Sistemas.de.Informação.II" "Sistemas.Operacionais" "Teoria.da.Computação" "Teoria.dos.Grafos" "cra"
"35" "8846a797261023aabf1b6883acf220c8" 7.2 7.3 8.7 7.7 5 5 7.2 6.1 7.3 9 8.7 7.2 7.5 9.7 7.1 9 7.6 7.4 7.7 8.6 7.4 8.3 8.4 7.8 9 7.6 7.5 7 7.5 7.3 7.2 7.5 7.2 5.1 7.9 7.8 9.3 8.3 7.2 8.3 7.3 7.8 7.5 7.6 7.49540229885057
"36" "8910e679ab8cfe983ce4e57d9e4fd493" 7.2 5.3 7 5.3 7.6 7 7 5 7 8.5 8.3 7.8 5 7.5 7.5 8.3 8.5 7 7.3 7.4 7 7.7 7.3 5.6 5 8.5 7 5.2 8 7.9 5 7.4 7.6 6.5 8.1 6.4 7.7 7.6 7.1 7.7 5 5.2 7.1 8.3 6.78314606741573
"39" "a3d3f20cba56206ff080fc229414ba49" 7.2 7.7 8.7 8.7 7.9 7 7.2 5 8.7 7.2 8.4 7.6 7.3 8.5 7.7 8.8 8.1 7.8 7.9 9.2 7.8 9.6 9.6 8.4 8.9 7.7 8.2 5 7.8 7.3 9.1 7.8 8.8 7.4 8.3 8.3 9.3 8.1 9.5 8.6 7.9 7.7 8.1 8.4 8.02235294117647
"40" "a4bb6242ddc9d577a78c18846cc3f074" 5.5 6.8 7 6 7.1 6.5 7.2 5.4 5 8 8.5 7 7.2 8 7.2 8.2 7.6 7.5 5.2 7.7 7.5 10 8.3 7 7.3 7.1 5.1 5.4 8.5 5.4 5 7 7.8 5.8 7 7 8.8 9.5 7 8.9 7.6 5.2 6.5 7 6.97126436781609
"42" "a5d259ee87132591aea217a6731b81db" 8.5 7 8.4 8.8 7.9 8 7 7.3 8.3 9 9.3 8.2 7.8 8.5 8.8 9.8 9.2 7.8 8.8 9.4 7.8 10 7.4 7.7 9.6 9.2 9.4 8.5 7.8 8 9 8.9 9.5 8.6 7.6 9 7.1 8.6 9.1 9.5 7.8 8.8 7.8 8.7 8.48588235294118
"43" "a63251a0ff32b488668d04cda8fe8018" 7.1 6.4 7.1 5.8 7 7 8.7 5.2 6.8 10 7.1 7.3 5 8.3 8.4 7.9 8.2 5.3 8.9 9.1 5.3 8.8 7.6 8.8 8.2 8.7 7.9 7.1 5 7.4 8.3 8.5 9.5 8 8.1 9 7.1 7.8 7.5 9.6 7.1 6.5 5.6 6.1 7.44252873563218
"44" "aa153d763625a7eca0445f18025c9660" 5 6.6 8.2 7.8 7 6 7 6.2 7.2 9.3 9.5 6.9 5 9.2 7.8 8.7 8.9 7 7.6 9.3 7 8.7 8.1 7.8 9.4 7 7.2 5.2 9.6 6.4 7.4 8.4 8.4 5.4 8.3 9.1 9.3 10 7.9 8.9 5.6 6.1 8 7.9 7.59655172413793
"45" "afae94a63c13e9b8c04437b79f5578a4" 8.3 9.2 7.5 5.4 7.8 7.1 7.5 7 6.3 8.5 7 8.4 7 9.4 8.3 8.5 8.1 7 8.6 8.9 7 7 7.3 8.5 8.5 8.5 8 7.4 8 7.4 7 8.6 8 7.4 7.3 7.8 7.1 7.8 7.5 9.6 7 6.6 5.6 6.8 7.68470588235294
"46" "b050b32472d3681f701bbc20fdd78872" 7.3 5 8.7 7.8 6.9 7.2 5.2 7.3 7.5 8.4 8.6 6.1 5.2 8.7 8.4 8.8 8 7.5 7.2 9.5 7.5 9.5 8.4 7.8 8.6 7.1 6.1 5.1 7.9 6.4 7.1 7.5 7 5 7 7.4 9.2 10 8.9 9 7.1 8.3 5.4 7.3 7.38390804597701
"47" "b287908b64caf7cfd246a42d1e27a945" 5 7.1 9.1 7.8 7.4 6 9.3 6.3 5 9.3 8.8 6.5 5.1 9.7 6.1 8.5 7.5 7.9 7 7 7.9 10 8.5 7.7 7 7.5 7 7.3 9 6.7 5.4 7.5 9.7 7.1 7.8 7.4 7.5 8.8 7 8.4 8.1 7 7.8 7.4 7.23846153846154
"48" "b41d2f7f5f7586de56814c273fe9b839" 7 7.7 8.8 6.9 8.2 8 7.2 5.3 7.7 10 7 8.3 6.1 9 8.4 8.8 8.6 7.9 8.3 8.7 7.9 9.4 8.6 7.6 7.1 7.6 8.3 8.1 7 7.3 6.8 8.1 9.5 7 7.5 8.8 7.7 8.9 7.5 8.6 7.8 6.4 9.4 9.7 7.94
"49" "b7b2e0368a2e52b16c60ce0435a5681b" 5.8 7.2 7.8 8.2 5.5 5.7 7.3 7 8 8 7.4 7 8.1 8.8 7.9 8.8 7.1 7.4 7 7.8 7.4 7.5 9.6 8.5 8.7 7 7.5 6.8 7.9 8.8 6.6 7.1 8.6 5.4 8.3 9 8.3 8.9 7.3 9.2 7.6 7.4 5.4 5.7 6.92916666666667
"51" "bc2836d6ffe5c75765d427fb3fc81dab" 6.7 5.6 7.6 7.8 6.4 5 5.6 5.9 7 9.7 6.8 7 7.4 7.7 7.7 8.4 7.8 5.3 8.4 5 5.1 5 8.6 7.7 7 6.7 5.8 6.8 8.2 6 8.6 6.6 7 5.2 7 7.4 6 8.9 7.7 8.4 5.2 7 7.6 5.9 6.7314606741573
"55" "c19ce9b738fa1e0b68b7f83ff3a25469" 7.5 6.4 8.9 7.6 8.3 7 8.2 5.1 5.7 10 7 7.6 5 9.2 8.5 8.3 7.2 7.2 6.7 8.3 7.2 9.4 8.2 7.1 5.6 6.2 7.7 6.6 7.4 7.9 6.2 8 8.4 7 5.4 6.4 7.9 7.6 7.3 9.3 5.9 7.1 6.7 5.5 7.25057471264368
"56" "c30277c5649769fee3ffdba05ca3e8eb" 5.5 7 7.8 7.3 7 7.9 7 6.4 7.2 9.5 9.6 7.1 7.3 8.8 7.8 9.5 7.7 8.8 8.4 7.4 8.8 9.1 9 8.9 8.2 7.3 7 6.4 9.2 7 7.4 8.2 7.1 5.4 8.5 8.2 8.8 9.5 7.5 8 7.5 7.2 7 7.3 7.4978021978022
"57" "c30dbfc2a002e754393e82286dd6731a" 9.3 9.1 10 8.8 7.8 8.2 9.8 8.5 8.6 9.5 8.5 9.9 8.5 10 8.8 8.3 8.6 7 10 9.9 7 9.6 9.3 10 8.7 7.6 9 9.2 8 7.3 8.8 8.4 9.1 8.9 10 9.2 9.3 8.1 8.4 9.7 7.5 8.1 9.1 10 8.85058823529412
"60" "d0cbbfe676977ac5a3bdd5189291b1f2" 10 9.1 9.4 9.4 8.9 8.1 8.7 8.3 9 10 7.9 8.8 9.1 9.3 8.2 9.2 9.3 7 9.9 8.9 7 9.7 8.1 8.6 9.1 8.2 9.3 8.1 7.7 9 9 9.3 9.7 8.1 8.1 8.9 9.4 8.3 9.2 9.3 7.5 8.2 10 7.6 8.80235294117647
"62" "d42f7add58f316c8251c23ef22844e86" 6.6 6.2 5 8.1 5.6 6.3 6.2 8 5.5 5.2 7.7 5 7 7.6 8.1 9.2 7.7 7 7.8 7 7 7 6.8 5.8 5.8 10 5 6 9.1 6.4 7.3 6 5.5 5 5 5.5 8.2 7.9 5.6 5 6.3 5.9 5.1 5.1 5.7588785046729
"64" "dbb2ad522c8c692e746ff3acbe3974dd" 8.2 7.7 8.2 8.8 7.2 7.6 7.5 7.6 8.2 9.7 8.2 8 8.3 8.8 7 8.7 7.3 7.2 8.5 9.4 7.2 9.6 8.4 7.9 9.5 7.2 8.6 8.2 8.7 7 8.1 8.1 7.9 7.6 7 9.4 8.7 9 7.6 9 7 7.7 9.2 7.6 8.16117647058824
"67" "e0555fa1ba77f354307d2a09bc1a0d2d" 5 5 6.2 6.4 6.3 5.7 5.3 5.5 7.7 9.8 7.4 5 7 8.3 7.1 9 7.5 8 7 9 8 7 7.8 7.4 8 7.8 5.7 7.4 7.6 8.2 6.3 7.1 8.3 5.5 7.5 7.4 8.1 8.2 7.5 8 6.2 6.2 5 8.3 7.06470588235294
"68" "e12312ce5a4289776ac4bb6e39fbfc2a" 7.6 7.4 7 7.6 7.3 6 7 7.1 7.5 9 7 7 8.2 7.6 8 7 8.3 7.3 8.4 7.4 7.3 8.6 8.6 8.7 8.8 7 7.9 7 6.2 5.5 7.3 9 5.7 8.8 7.4 8.5 8.5 8.4 7.8 9.1 5.4 7.4 7 7 7.46551724137931
"70" "e87a695a3967657639c9fb9e1bc3dfc8" 6.5 8.3 8 9 5.4 7.6 5.3 5.8 6.8 9 9 7 7.4 8.3 8.5 9 8.4 5 9 5.8 5 8.9 9 7.8 7.9 7.6 7.6 6 9.2 7 6 7 7.7 5 7.4 7.9 9.6 8.9 6.1 7.1 6.4 7 5.1 6.3 6.90526315789474
"72" "ee3d9477b624b8ccdfb43c60e7b5f216" 5.3 8.2 5 7.3 5.1 5.2 5 5.5 5.4 9.4 7.1 5.1 5.2 8.2 5 9 7.2 5.3 6.3 7.2 5.3 7.6 8.3 7.7 9 5 5.5 5.4 7.8 6.7 5 5.9 6.2 5.8 6.5 7.7 6.7 7.7 5 7 5.3 5.3 5.1 5.5 5.6018691588785
"73" "ee59db7b21f9a355aaf835f4c57bc1c2" 7.1 7.9 7.9 9.1 6.4 6.1 5.6 5.2 6.4 8.5 7 5 7 8.5 7.9 9 7.1 7 8.6 7.5 7 7 9 6.7 7 7 6.1 7.6 7.8 7 7.2 8.5 7.1 6.4 6.6 7.8 9.6 8.9 7 7.9 5.1 5 5.4 7.1 6.99550561797753
"74" "ee6423b901f12fce3645c241f9f659f4" 7 9 7.1 7.6 7.2 6.8 9.3 7.2 5.3 9.8 7.1 7.2 9 7.9 8 7 9.1 7.2 9.1 8.9 7.2 7.1 9.4 9 8.9 7.3 5 7.7 7 8.5 6.4 7.2 5 7.2 7.6 9.3 8.7 8.4 8.3 7.5 5.2 7.3 7.2 7.5 7.5551724137931
"75" "f5d50bbc167b67b1a957be226455cf35" 7.8 5.1 5.9 7.8 7 7.2 7 5.1 6.1 9.8 8.3 5.5 7.1 7.7 7.6 8.8 8 7 8.2 5.9 7 9.7 8.3 5 8.1 8.5 5.4 5.7 7.3 5.7 5.6 5.7 6.4 5.6 5.6 8.4 7.5 8.8 5.6 7.4 6.4 6 6.8 8.5 6.70888888888889
"76" "f6b5ed2f758f6f8af2837075ae62e179" 7.9 10 5.4 7.6 8.4 6.8 9.2 6.8 6.4 9.8 8.1 7.4 8.9 9 7.5 8.8 8.4 7.4 7.5 8.9 7.4 8 9.6 7.6 8.6 8 8.5 6.6 7.5 9.4 8.1 6.6 8.5 6 8.2 8.4 8.3 8.9 7.6 9.4 6.5 7.5 6.4 5.9 7.73103448275862
"77" "f9533d97387651009894d5f5207babd7" 5.6 5 7.9 8.2 6.5 6.2 5 5.3 8.3 9.8 9.2 7 7.1 9.2 8 8.8 9.3 7.1 7.4 8.3 7.1 8.1 8.2 8.1 7.5 7.2 8.1 7 8.2 7 7.1 7 7.5 5.9 7.8 6.7 8.9 7.7 8 8.9 6.6 8 6 5.9 7.28202247191011
"78" "f97bd67bbf8799688e737c2262349d7c" 9.4 9.2 9.1 8.3 9.7 9.5 9.5 8.1 7.4 10 8.7 8.5 8.2 9.5 8.3 9 9.6 8.5 9.8 9.3 8.5 8.3 9.1 9.8 9.1 8 9.2 8 9.6 9.4 8.2 9.9 9.5 9.2 8.9 9.3 7.1 7.8 8.4 9.8 8.8 8.9 9.4 9.8 8.92470588235294
"79" "fbee4c39040ef3a4ce7ccd4e3d90e3d0" 5.4 6.1 6.7 7.3 7.2 7.1 7.5 5 7.3 8.5 9.4 8.2 5.7 8.3 5 8.3 7 7 7.2 9 7 10 8.3 8 8 7.8 7.5 5.5 8.6 6.9 7.4 7.4 5.1 6.3 7.9 7.9 8.8 9.5 6.3 8.7 6.1 6.3 7 8.3 7.25747126436782
